,issued_date,contractor_name,latitude,longitude
0,2016-09-12,CENTURION FIRE PROTECTION,33.379469,-111.600931
1,2016-03-16,SHEA HOMES,33.330725,-111.616354
2,2016-03-28,MERITAGE HOMES CONSTRUCTION INC,33.319315,-111.621314
3,2016-03-16,KB HOME PHOENIX INC,33.440452,-111.721676
4,2016-03-10,"PRESIDENTIAL POOLS & SPAS, LLC",33.361187,-111.6731
5,2016-03-24,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.334898,-111.60474
6,2016-03-24,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.32281,-111.604803
7,2016-03-31,"MATTAMY ARIZONA CONSTRUCTION, LLC",33.32277,-111.604991
8,2016-03-24,CALIFORNIA POOLS & SPAS,33.454388,-111.643398
10,2016-03-24,PEGASUS POOLS,33.321801,-111.608182
11,2016-03-24,CARIBBEAN POOLS,33.348385,-111.594884
12,2016-03-24,K KITTLE LLC,33.364831,-111.871929
13,2016-03-24,K KITTLE LLC,33.370724,-111.679908
14,2016-04-06,K KITTLE LLC,33.441426,-111.810195
15,2016-03-09,FLATIRON ELECTRIC LLC,33.422473,-111.74435
16,2016-03-28,MERITAGE HOMES CONSTRUCTION INC,33.327583,-111.606577
17,2016-03-24,BLUE WAVE POOLS,33.322146,-111.586699
19,2016-03-09,"BREINHOLT CONTRACTING CO, INC",33.380736,-111.788696
20,2016-03-24,JCH CONSTRUCTION,33.315663,-111.61462
21,2016-03-17,BRIGHTON COMPANIES LLC,33.372234,-111.648296
22,2016-04-07,AMERIGAS PROPANE LP,33.431502,-111.873378
24,2016-04-26,BIG DADDY CONSTRUCTION,33.488269,-111.69922
25,2016-06-07,ASSOCIATED SIGN COMPANY,33.380736,-111.788696
26,2016-03-29,"PRESIDENTIAL POOLS & SPAS, LLC",33.320339,-111.598987
27,2016-03-22,WILLIAM LYON HOMES INC,33.474709,-111.767336
28,2016-03-22,WILLIAM LYON HOMES INC,33.476834,-111.765792
29,2016-03-22,WILLIAM LYON HOMES INC,33.47789,-111.760946
30,2016-03-22,WILLIAM LYON HOMES INC,33.478166,-111.758852
31,2004-02-25,ISLAND POOLS,33.392526,-111.707549
32,2016-03-22,WILLIAM LYON HOMES INC,33.478166,-111.759017
33,2016-03-29,PREMIER PARADISE,33.493833,-111.671609
34,2016-03-18,FARNSWORTH CONSTRUCTION CO,33.36332,-111.600645
35,2017-07-06,OTAGO DEVELOPMENT,,
36,2016-01-05,"KKITTLE, LLC",33.339493,-111.586948
37,2016-03-22,WILLIAM LYON HOMES INC,33.477889,-111.760779
41,2016-03-21,BLOOMING DESERT,33.470741,-111.769108
42,2016-03-10,W5 CONSTRUCTION,33.408993,-111.673591
43,2016-03-14,WESTERN SKIES RESTORATION INC,33.418233,-111.843916
44,2016-03-21,GLEESON MOBILE HOME SERVICE,33.371362,-111.641909
45,2016-03-28,TYCO INTEGRATED SECURITY,33.281202,-111.586479
46,2016-04-06,FREEDOM POOLS,33.407227,-111.714382
47,2016-03-11,CHEUVRONT CONSTRUCTION,33.411701,-111.803038
48,2016-03-11,TACTICAL RESTORATION,33.42269,-111.823239
49,2016-03-28,METRO FIRE EQUIPMENT INC,33.383908,-111.80294
50,2016-03-14,ARIZONA ENERGY SERVICES,33.432567,-111.823569
51,2016-03-17,MBI BUILDERS LLC,,
52,2016-03-24,CIRTCELE ELECTRIC,33.465034,-111.734569
53,2016-03-14,SUN VALLEY SOLAR SOLUTIONS,33.400357,-111.595251
54,2016-03-30,BLUE WAVE POOLS,33.324661,-111.61063
55,2016-04-14,HIGH DESERT COMMUNICATIONS,33.393656,-111.796698
56,2016-03-22,CALIFORNIA POOLS & SPAS,,
58,2022-11-16,Christine  Harrell,33.30838,-111.603816
